adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,tipo,origin_country_x,original_name,first_air_date,name,media_type,gender,known_for_department,profile_path,titulo_unico,ano_lancamento,tamanho_sinopse,popularidade_log,nota_ponderada,vote_count_log,popularidade_categoria,generos_nomes,runtime,budget,revenue,production_countries,origin_country_y,duracao_min,pais_codigo,pais_nome,lucro,lucro_log
False,/1yktYsxkmUtUFTUnCAUaqG6FEiz.jpg,"[28, 53, 80]",541671,en,Ballerina,"Bailarina  se passa durante os eventos de ‘John Wick 3: Parabellum‘ e acompanha Eve Macarro, que está começando seu treinamento nas tradições da organização Ruska Roma para se tornar uma assassina que buscará vingança contra aqueles que destruíram sua família.",31.9941,/by5hjYJp3OJ8GW118kPeURp1rFo.jpg,2025-06-04,Bailarina: Do Universo de John Wick,False,7.313,1988,Filme (Popular),,,,,,,,,Bailarina: Do Universo de John Wick,2025,40,3.4963287576032345,0.37980678196352996,7.5953872788539725,Baixa,"['Ação', 'Thriller', 'Crime']",,0.0,0.0,,,,,,0.0,0.0
False,/2fOKVDoc2O3eZmBZesWPuE5kgPN.jpg,"[18, 9648]",200875,en,,"Durante as férias de 1958, em uma pacata cidadezinha chamada Derry, um grupo de sete amigos começa a ver coisas bizarras. Um conta que viu um palhaço, outro que viu uma múmia. Finalmente, acabam descobrindo que estavam todos vendo a mesma coisa: um ser sobrenatural e maligno que pode assumir várias formas. Ele mesmo. O Pennywise.",349.3012,/gMTfrLvrDaD0zrhpLZ7zXIIpKfJ.jpg,,,,8.061,496,Série (Popular),['US'],IT: Welcome to Derry,2025-10-26,IT: Bem-Vindos a Derry,,,,,IT: Bem-Vindos a Derry,2025,56,5.858793355832743,0.10445310622289565,6.208590026096629,Muito Alta,"['Drama', 'Mistério']",,0.0,0.0,,,,,,0.0,0.0
False,/56v2KjBlU4XaOv9rVYEQypROD7P.jpg,"[10765, 9648, 10759]",66732,en,,"Quando um garoto desaparece, a cidade toda participa nas buscas. Mas o que encontram são segredos, forças sobrenaturais e uma menina.",378.6798,/7EZcuL3GuiNvwn5RlKLaWazzekL.jpg,,,,8.6,19085,Série (Popular),['US'],Stranger Things,2016-07-15,Stranger Things,,,,,Stranger Things,2016,21,5.939328265927938,4.287867704686765,9.8567103609772,Muito Alta,"['Sci-Fi & Fantasy', 'Mistério', 'Action & Adventure']",,0.0,0.0,,,,,,0.0,0.0
False,/ro0tlgnsco4SwbdAgmscLkSlMSL.jpg,"[18, 9648, 10765]",1622,en,,"Os irmãos Dean e Sam vasculham o país em busca de atividades paranormais, brigando com demônios, fantasmas e monstros no caminho.",162.8749,/eK4gEBWNGJoxCD67KFKzaKfSzWU.jpg,,,,8.301,8081,Série (Popular),['US'],Supernatural,2005-09-13,Supernatural,,,,,Supernatural,2005,21,5.099103331862472,1.7524526098542244,8.997394645638419,Muito Alta,"['Drama', 'Mistério', 'Sci-Fi & Fantasy']",,0.0,0.0,,,,,,0.0,0.0
False,/jP0Rhj9OTPDAwQlHQwOLFDdeE8t.jpg,[18],1416,en,,"Os médicos do Grey Sloan Memorial Hospital lidam diariamente com casos e consequências de vida ou morte. É um no outro que eles encontram apoio, conforto, amizade e, às vezes, até mais que amizade... Juntos, eles descobrem o quanto a vida profissional e a pessoal podem ser complicadas e se misturarem no meio do caminho.",150.1261,/vrChGRs0DsoCoaeHif8PlZY637Q.jpg,,,,8.213,10692,Série (Popular),['US'],Grey's Anatomy,2005-03-27,Grey's Anatomy,,,,,Grey's Anatomy,2005,55,5.01811458765123,2.29409572077956,9.277344600756656,Muito Alta,['Drama'],,0.0,0.0,,,,,,0.0,0.0
False,/jvTeRgjFsp66xj8SWxhr7O2J4ud.jpg,"[10751, 16, 35]",456,en,,"Uma animação sobre uma típica família dos Estados Unidos. Homer é o pai de família nada saudável ou inteligente, que adora beber cerveja. Marge é a esposa e mãe de família dedicada. Bart é o filho de 10 anos, que não leva a escola a sério e tem orgulho disso. Lisa é a garota de 8 anos, um gênio não apreciado. E Maggie é o bebê que não larga a chupeta.",127.9189,/1jGPgDDcmg3Xgs3WO8sfYfbnFoA.jpg,,,,8.0,10451,Série (Popular),['US'],The Simpsons,1989-12-17,Os Simpsons,,,,,Os Simpsons,1989,71,4.859183524487627,2.184231151052824,9.254548626640503,Muito Alta,"['Família', 'Animação', 'Comédia']",,0.0,0.0,,,,,,0.0,0.0
False,/obtdxPgmfykYwVnvuYXC5f2xKlQ.jpg,"[80, 18, 9648]",2734,en,,"Detetives que fazem parte da Unidade de Vítimas Especiais da polícia de Nova York investigam crimes de natureza sexual, como estupros, em que a vítima sobrevive, e auxilia as autoridades na investigação.",153.3257,/gUMArcGnsNmsJgQky7vE0cdnf4Y.jpg,,,,7.9,4058,Série (Popular),['US'],Law & Order: Special Victims Unit,1999-09-20,Lei & Ordem: Unidade de Vítimas Especiais,,,,,Lei & Ordem: Unidade de Vítimas Especiais,1999,32,5.039065304151739,0.8375097967500914,8.308691916838898,Muito Alta,"['Crime', 'Drama', 'Mistério']",,0.0,0.0,,,,,,0.0,0.0
False,/tuCU2yVRM2iZxFkpqlPUyvd6tSu.jpg,"[16, 35, 18, 10765]",94954,en,,"Charlie Morningstar, a Princesa do Inferno, tem dificuldades para convencer anjos e demônios de que toda alma pode ser redimida. Cante e xingue junto nessa comédia animada e musical para maiores sobre segundas chances.",123.4091,/hdOeeEVqhvKR5sh8gDAp4WwSiHQ.jpg,,,,8.655,1433,Série (Popular),['US'],Hazbin Hotel,2024-01-18,Hotel Hazbin,,,,,Hotel Hazbin,2024,34,4.823575328755068,0.3240141856941324,7.2682230211595655,Muito Alta,"['Animação', 'Comédia', 'Drama', 'Sci-Fi & Fantasy']",,0.0,0.0,,,,,,0.0,0.0
False,/4P2gbaCGdZyP4i95TmmA6nS9HJh.jpg,[10764],64356,ko,,"“O Retorno do Super-homem” é um popular reality show sul-coreano. A série conta com papais celebridades que são deixados a sós, para cuidar de seus filhos, por 48 horas, enquanto suas esposas conseguem uma pausa muito merecida. Aos pais acontece então a atribuição de tarefas deixadas por suas mulheres ou eles tentam aproveitar novas atividades com seus pequenos.",101.0403,/iP2OjFhiiMnowebltmXgAxJowKP.jpg,,,,7.7,16,Série (Popular),['KR'],슈퍼맨이 돌아왔다,2013-11-03,O Retorno do Super-homem,,,,,O Retorno do Super-homem,2013,58,4.625367833292809,0.003218558963373217,2.833213344056216,Muito Alta,['Reality'],,0.0,0.0,,,,,,0.0,0.0
False,/2m1Mu0xPj4SikiqkaolTRUcNtWH.jpg,"[80, 18, 35]",79744,en,,"John Nolan, um homem de 40 anos, deixa para trás sua vida confortável em uma cidade pequena para viver seu sonho de ser um agente policial no Departamento de Polícia de Los Angeles. Como o novato mais velho, ele enfrenta a descrença de seus colegas.",128.1799,/bL1mwXDnH5fCxqc4S2n40hoVyoe.jpg,,,,8.52,2767,Série (Popular),['US'],The Rookie,2018-10-16,O Novato,,,,,O Novato,2018,45,4.861206006490387,0.6158848424682585,7.92588031673756,Muito Alta,"['Crime', 'Drama', 'Comédia']",,0.0,0.0,,,,,,0.0,0.0
False,/mNHRGO1gFpR2CYZdANe72kcKq7G.jpg,"[80, 18, 35]",153312,en,,"Depois de cumprir 25 anos de prisão, Dwight Manfredi é exilado sem cerimônia por seu chefe da máfia para se estabelecer em Oklahoma. Dwight lentamente constrói um novo império criminoso em Tulsa.",136.0045,/rOYLWCdAifpUtPlTf1WHxyaxeMt.jpg,,,,8.3,2397,Série (Popular),['US'],Tulsa King,2022-11-13,Tulsa King,,,,,Tulsa King,2022,32,4.920013772004012,0.5197528606510268,7.7823903355874595,Muito Alta,"['Crime', 'Drama', 'Comédia']",,0.0,0.0,,,,,,0.0,0.0
False,/c1aBrG5s5xFa6Tbnihu2Hhj4t2q.jpg,"[80, 18, 10759]",4614,en,,"Sob o exemplar comando de Leroy Jethro Gibbs, uma equipe de agentes especiais investiga crimes relacionados com a Marinha dos Estados Unidos.",125.9936,/abjNx4jqvaJn5UvsuLaBVRVndyJ.jpg,,,,7.622,2416,Série (Popular),['US'],NCIS,2003-09-23,NCIS: Investigação Naval,,,,,NCIS: Investigação Naval,2003,22,4.844136691487999,0.4810792622394064,7.790282380703483,Muito Alta,"['Crime', 'Drama', 'Action & Adventure']",,0.0,0.0,,,,,,0.0,0.0
False,/lHe8iwM4Cdm6RSEiara4PN8ZcBd.jpg,"[10759, 18, 10768]",44217,en,,"Ragnar Lothbrok, um jovem que se considera descendente de Odin, é um guerreiro, fazendeiro e chefe de família. Visionário e sonhando viver diversas aventuras, ele acredita que as riquezas sonhadas por seu povo encontram-se além do mar Báltico. Mas para conseguir conquistá-las ele precisa convencer Earl Haraldson, o líder de seu povo, a permitir que ele e seus guerreiros viagem em direção à Inglaterra.",94.2795,/bQLrHIRNEkE3PdIWQrZHynQZazu.jpg,,,,8.093,7377,Série (Popular),['CA'],Vikings,2013-03-03,Vikings,,,,,Vikings,2013,64,4.55681467734226,1.5596964574951668,8.906257878156621,Muito Alta,"['Action & Adventure', 'Drama', 'War & Politics']",,0.0,0.0,,,,,,0.0,0.0
False,/r0Q6eeN9L1ORL9QsV0Sg8ZV3vnv.jpg,"[18, 35, 9648]",1408,en,,"Hugh Laurie interpreta Dr. Gregory House, um médico mal-humorado que detesta lidar com pacientes, mas é um gênio no tratamento de doenças misteriosas.",102.8947,/lW7MvZ4m49IUj2UrUu4z0xVVl81.jpg,,,,8.586,7172,Série (Popular),['US'],House,2004-11-16,Dr. House,,,,,Dr. House,2004,23,4.643377886216994,1.6087254297507707,8.878079256126435,Muito Alta,"['Drama', 'Comédia', 'Mistério']",,0.0,0.0,,,,,,0.0,0.0
False,/foGkPxpw9h8zln81j63mix5B7m8.jpg,"[18, 10759]",71912,en,,O mutante Geralt de Rívia é um caçador de monstros que luta para encontrar seu lugar num mundo onde as pessoas muitas vezes são mais perversas que as criaturas selvagens.,115.0958,/uJ1kQWTY1nElMcrrbHtDitbV85K.jpg,,,,8.0,6390,Série (Popular),['US'],The Witcher,2019-12-20,The Witcher,,,,,The Witcher,2019,30,4.754415712338894,1.335492972464601,8.762646029650282,Muito Alta,"['Drama', 'Action & Adventure']",,0.0,0.0,,,,,,0.0,0.0
False,/5s9XHTB9SLPdg3mNU6BlSLnZ9Qq.jpg,"[18, 35]",34307,en,,"Situada em Chicago, a família Gallagher, uma família da classe trabalhadora de oito pessoas, terá de sobreviver aos altos e baixos da recessão de hoje. Com uma mãe que está fora de cena e um pai alcoólatra que geralmente acaba desmaiado no chão da sala, e com sua filha Fione, de 18 anos de idade, que tem a tarefa de manter seus cinco irmãos e irmãs na linha reta. Esta série é baseada na série britânica de mesmo nome.",105.7641,/ifo31fMWLmyOVpdak9K0kY4jldQ.jpg,,,,8.164,3098,Série (Popular),['US'],Shameless,2011-01-09,Shameless,,,,,Shameless,2011,79,4.6706217276955035,0.6607469564763049,8.038834757787749,Muito Alta,"['Drama', 'Comédia']",,0.0,0.0,,,,,,0.0,0.0
False,/aSGSxGMTP893DPMCvMl9AdnEICE.jpg,"[80, 18, 9648]",1405,en,,"Renomado funcionário da Polícia de Miami, Dexter esconde de todos uma segunda identidade: ele é um assassino em série que mata os criminosos que a polícia não consegue prender.

para mais assista no site gratuitamente "" www.cineveo.lat """,112.1642,/f1nV5NBIFwfQLw5g8FVrdt90FAy.jpg,,,,8.224,5066,Série (Popular),['US'],Dexter,2006-10-01,Dexter,,,,,Dexter,2006,38,4.728839861333147,1.0884263545639792,8.53050420547591,Muito Alta,"['Crime', 'Drama', 'Mistério']",,0.0,0.0,,,,,,0.0,0.0
False,/zZqpAXxVSBtxV9qPBcscfXBcL2w.jpg,"[10765, 18, 10759]",1399,en,,"Em uma terra onde os verões podem durar vários anos e o inverno toda uma vida, sete nobres famílias lutam pelo controle da mítica terra de Westeros, dividida depois de uma guerra. Num cenário que lembra a Europa medieval, reis, rainhas, cavaleiros e renegados usam todos os meios possíveis em um jogo político pela disputa do Trono de Ferro, o símbolo do poder absoluto.",109.3696,/eDn8XWA0a4U3zOhd1gh7HExdt4Y.jpg,,,,8.459,25811,Série (Popular),['US'],Game of Thrones,2011-04-17,Game of Thrones,,,,,Game of Thrones,2011,64,4.70383473360499,5.703935654945399,10.158594779055731,Muito Alta,"['Sci-Fi & Fantasy', 'Drama', 'Action & Adventure']",,0.0,0.0,,,,,,0.0,0.0
False,/63FA8vwSZnXkGxedrDQwni4JuZN.jpg,"[18, 80]",1396,en,,"Ao saber que tem câncer, um professor passa a fabricar metanfetamina pelo futuro da família, mudando o destino de todos.",94.1417,/hGwm9Cj3CdbJIqQWNExQqiYmCd4.jpg,,,,8.936,16560,Série (Popular),['US'],Breaking Bad,2008-01-20,Breaking Bad,,,,,Breaking Bad,2008,20,4.555367359248954,3.8659323893620354,9.714805812589491,Muito Alta,"['Drama', 'Crime']",,0.0,0.0,,,,,,0.0,0.0
